ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Description,TCFD_Map?,EBA_P3_Map?,SEC_Map?,SASB_Map?,confidence
5995bdb5-0b8d-4a23-88a6-c41f3f4c9032,Layer,,IFRS S2: Climate-related Disclosures,,,,,,,,,,,,,
f6f7e0c1-0ea5-437d-af87-1087c6f9f174,Object,5995bdb5-0b8d-4a23-88a6-c41f3f4c9032,Governance,,,,,,,,,,,,,
71510a40-5f07-42af-a893-901e51b45ded,Attribute,f6f7e0c1-0ea5-437d-af87-1087c6f9f174,5,,,,,,,,"The objective of climate-related financial disclosures on governance is to enable users of general purpose financial reports to understand the governance processes, controls and procedures an entity uses to monitor, manage and oversee climate-related risks and opportunities.",,,,,
5a955e28-5d02-4758-8a96-cf08951cd113,Group,f6f7e0c1-0ea5-437d-af87-1087c6f9f174,6,,,,,,,,"To achieve this objective, an entity shall disclose information about:",,,,,
c21df3e9-4b43-4f59-b97c-63238c4eeb1a,Group,5a955e28-5d02-4758-8a96-cf08951cd113,(a),3c7fa6bb-758d-4557-b85f-e0ea1f612d87,,,,,,,"the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of climate-related risks and opportunities. Specifically, the entity shall identify that body(s) or individual(s) and disclose information about:",Part,Part,Part,,
2e639db2-d563-4d12-bda3-544912363c95,Attribute,c21df3e9-4b43-4f59-b97c-63238c4eeb1a,(i),,,,,,,,"how responsibilities for climate-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s);",Part,Part,,,
d2f88ce2-4006-42f6-8e0d-b8d2778bc278,Attribute,c21df3e9-4b43-4f59-b97c-63238c4eeb1a,(ii),3c7fa6bb-758d-4557-b85f-e0ea1f612d87,,,,,,,how the body(s) or individual(s) determines whether appropriate skills and competencies are available or will be developed to oversee strategies designed to respond to climate-related risks and opportunities;,Part,Part,Part,,
7d0b8474-6371-4766-ae8d-fce04fefc3a7,Attribute,c21df3e9-4b43-4f59-b97c-63238c4eeb1a,(iii),3c7fa6bb-758d-4557-b85f-e0ea1f612d87,,,,,,,how and how often the body(s) or individual(s) is informed about climate-related risks and opportunities;,Yes,Yes,Yes,,
df12b5a7-85d5-456c-b48b-b8b86b975a36,Attribute,c21df3e9-4b43-4f59-b97c-63238c4eeb1a,(iv),3c7fa6bb-758d-4557-b85f-e0ea1f612d87,,,,,,,"how the body(s) or individual(s) takes into account climate-related risks and opportunities when overseeing the entity’s strategy, its decisions on major transactions and its risk management processes and related policies, including whether the body(s) or individual(s) has considered trade-offs associated with those risks and opportunities; and",Yes,Yes,Yes,,
50a56c3c-71ee-4470-a83f-7de7b88824af,Attribute,c21df3e9-4b43-4f59-b97c-63238c4eeb1a,(v),3c7fa6bb-758d-4557-b85f-e0ea1f612d87,,,,,,,"how the body(s) or individual(s) oversees the setting of targets related to climate-related risks and opportunities, and monitors progress towards those targets (see paragraphs 33⁠–⁠36), including whether and how related performance metrics are included in remuneration policies (see paragraph 29(g)).",Yes,Part,Yes,,
d670eaf2-d460-4fe5-9dfa-99a9c5a253d7,Group,5a955e28-5d02-4758-8a96-cf08951cd113,(b),62db3be0-23f6-4488-a5b1-8c359c50adb7,,,,,,,"management’s role in the governance processes, controls and procedures used to monitor, manage and oversee climate-related risks and opportunities, including information about:",Part,Part,Yes,,
fcad0300-eee8-40a6-acdb-459ee16c3fe8,Attribute,d670eaf2-d460-4fe5-9dfa-99a9c5a253d7,(i),,,,,,,,whether the role is delegated to a specific management-level position or management-level committee and how oversight is exercised over that position or committee; and,,,,,
d00cab2f-eae9-4836-b4f3-668c5ac557b5,Attribute,d670eaf2-d460-4fe5-9dfa-99a9c5a253d7,(ii),,,,,,,,"whether management uses controls and procedures to support the oversight of climate-related risks and opportunities and, if so, how these controls and procedures are integrated with other internal functions.",,,,,
9795c4bc-c602-4f7a-b969-730522de729c,Attribute,f6f7e0c1-0ea5-437d-af87-1087c6f9f174,7,,,,,,,,"In preparing disclosures to fulfil the requirements in paragraph 6, an entity shall avoid unnecessary duplication in accordance with IFRS S1 General Requirements for Disclosure of Sustainability-related Financial Information (IFRS S1) (see paragraph B42(b) of IFRS S1). For example, although an entity shall provide the information required by paragraph 6, if oversight of sustainability-related risks and opportunities is managed on an integrated basis, the entity would avoid duplication by providing integrated governance disclosures instead of separate disclosures for each sustainability-related risk and opportunity.",,,,,
ba4009b1-6a40-4ab1-ad33-4507c56632c2,Object,5995bdb5-0b8d-4a23-88a6-c41f3f4c9032,Strategy,,,,,,,,,,,,,
a6064081-b55d-4873-aabd-653b29cbcf7d,Attribute,ba4009b1-6a40-4ab1-ad33-4507c56632c2,8,,,,,,,,The objective of climate-related financial disclosures on strategy is to enable users of general purpose financial reports to understand an entity’s strategy for managing climate-related risks and opportunities.,,,,,
bcffbcff-33f9-413d-a5af-a0603af4b24f,Group,ba4009b1-6a40-4ab1-ad33-4507c56632c2,9,,,,,,,,"Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand:",,,,,
5a429598-2506-478e-b7d5-f469caf447fd,Attribute,bcffbcff-33f9-413d-a5af-a0603af4b24f,(a),,,,,,,,the climate-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 10⁠–⁠12);,,,,,
30dfc8f6-30de-4e02-8c31-0ca7e1e33387,Attribute,bcffbcff-33f9-413d-a5af-a0603af4b24f,(b),,,,,,,,the current and anticipated effects of those climate-related risks and opportunities on the entity’s business model and value chain (see paragraph 13);,,,,,
c05e6e2c-e2d0-4b10-81a8-a8fcdcbf38e3,Attribute,bcffbcff-33f9-413d-a5af-a0603af4b24f,(c),,,,,,,,"the effects of those climate-related risks and opportunities on the entity’s strategy and decision-making, including information about its climate-related transition plan (see paragraph 14);",,,,,
